company,division,entity,entity_level,parent_entity,drilldown_dim,metric,period_type,calendar_year,quarter,period_label,period_start,period_end,currency_unit,reported_value_chf,reported_growth_chf,cer_value,cer_growth,data_status,source_ref,source_release
Roche,Diagnostics,Core Lab,BusinessArea,Diagnostics Division,BusinessArea,Sales,Quarter,2024,Q1,Q1 2024,2024-01-01,2024-03-31,CHF m,1923.2,,,,reconstructed_from_published_yoy,Dia Sales CHF!R31 (YoY-derived),derived from Q1 2026 RoFIS release
Roche,Diagnostics,Core Lab,BusinessArea,Diagnostics Division,BusinessArea,Sales,Quarter,2024,Q2,Q2 2024,2024-04-01,2024-06-30,CHF m,2150.0,,,,reconstructed_from_published_yoy,Dia Sales CHF!R31 (YoY-derived),derived from Q1 2026 RoFIS release
Roche,Diagnostics,Core Lab,BusinessArea,Diagnostics Division,BusinessArea,Sales,Quarter,2024,Q3,Q3 2024,2024-07-01,2024-09-30,CHF m,1988.2,,,,reconstructed_from_published_yoy,Dia Sales CHF!R31 (YoY-derived),derived from Q1 2026 RoFIS release
Roche,Diagnostics,Core Lab,BusinessArea,Diagnostics Division,BusinessArea,Sales,Quarter,2024,Q4,Q4 2024,2024-10-01,2024-12-31,CHF m,1945.5,,,,reconstructed_from_published_yoy,Dia Sales CHF!R31 (YoY-derived),derived from Q1 2026 RoFIS release
Roche,Diagnostics,Core Lab,BusinessArea,Diagnostics Division,BusinessArea,Sales,HalfYear,2025,H1,H1 2025,2025-01-01,2025-06-30,CHF m,3839.0,-0.06,3741.457,-0.02,actual,Dia Sales CHF!R3,Q1 2026 RoFIS release
Roche,Diagnostics,Core Lab,BusinessArea,Diagnostics Division,BusinessArea,Sales,Quarter,2025,Q1,Q1 2025,2025-01-01,2025-03-31,CHF m,1904.0,-0.01,1807.122,-0.01,actual,Dia Sales CHF!R31,Q1 2026 RoFIS release
Roche,Diagnostics,Core Lab,BusinessArea,Diagnostics Division,BusinessArea,Sales,Quarter,2025,Q2,Q2 2025,2025-04-01,2025-06-30,CHF m,1935.0,-0.1,1934.335,-0.03,actual,Dia Sales CHF!R31,Q1 2026 RoFIS release
Roche,Diagnostics,Core Lab,BusinessArea,Diagnostics Division,BusinessArea,Sales,Quarter,2025,Q3,Q3 2025,2025-07-01,2025-09-30,CHF m,1849.0,-0.07,1893.391,0.0,actual,Dia Sales CHF!R31,Q1 2026 RoFIS release
Roche,Diagnostics,Core Lab,BusinessArea,Diagnostics Division,BusinessArea,Sales,YTD,2025,Q3,YTD Sep 25,2025-01-01,2025-09-30,CHF m,5688.0,-0.06,5634.848,-0.01,actual,Dia Sales CHF!R3,Q1 2026 RoFIS release
Roche,Diagnostics,Core Lab,BusinessArea,Diagnostics Division,BusinessArea,Sales,FullYear,2025,Q4,2025,2025-01-01,2025-12-31,CHF m,7614.0,-0.05,7613.689,0.0,actual,Dia Sales CHF!R3,Q1 2026 RoFIS release
Roche,Diagnostics,Core Lab,BusinessArea,Diagnostics Division,BusinessArea,Sales,Quarter,2025,Q4,Q4 2025,2025-10-01,2025-12-31,CHF m,1926.0,-0.01,1978.841,0.06,actual,Dia Sales CHF!R31,Q1 2026 RoFIS release
Roche,Diagnostics,Core Lab,BusinessArea,Diagnostics Division,BusinessArea,Sales,Quarter,2026,Q1,Q1 2026,2026-01-01,2026-03-31,CHF m,1798.0,-0.06,1872.077,0.04,actual,Dia Sales CHF!R31,Q1 2026 RoFIS release
Roche,Diagnostics,Molecular Lab,BusinessArea,Diagnostics Division,BusinessArea,Sales,Quarter,2024,Q1,Q1 2024,2024-01-01,2024-03-31,CHF m,609.6,,,,reconstructed_from_published_yoy,Dia Sales CHF!R36 (YoY-derived),derived from Q1 2026 RoFIS release
Roche,Diagnostics,Molecular Lab,BusinessArea,Diagnostics Division,BusinessArea,Sales,Quarter,2024,Q2,Q2 2024,2024-04-01,2024-06-30,CHF m,648.4,,,,reconstructed_from_published_yoy,Dia Sales CHF!R36 (YoY-derived),derived from Q1 2026 RoFIS release
Roche,Diagnostics,Molecular Lab,BusinessArea,Diagnostics Division,BusinessArea,Sales,Quarter,2024,Q3,Q3 2024,2024-07-01,2024-09-30,CHF m,617.2,,,,reconstructed_from_published_yoy,Dia Sales CHF!R36 (YoY-derived),derived from Q1 2026 RoFIS release
Roche,Diagnostics,Molecular Lab,BusinessArea,Diagnostics Division,BusinessArea,Sales,Quarter,2024,Q4,Q4 2024,2024-10-01,2024-12-31,CHF m,679.6,,,,reconstructed_from_published_yoy,Dia Sales CHF!R36 (YoY-derived),derived from Q1 2026 RoFIS release
Roche,Diagnostics,Molecular Lab,BusinessArea,Diagnostics Division,BusinessArea,Sales,HalfYear,2025,H1,H1 2025,2025-01-01,2025-06-30,CHF m,1250.0,-0.01,1213.669,0.03,actual,Dia Sales CHF!R8,Q1 2026 RoFIS release
Roche,Diagnostics,Molecular Lab,BusinessArea,Diagnostics Division,BusinessArea,Sales,Quarter,2025,Q1,Q1 2025,2025-01-01,2025-03-31,CHF m,634.0,0.04,596.926,0.02,actual,Dia Sales CHF!R36,Q1 2026 RoFIS release
Roche,Diagnostics,Molecular Lab,BusinessArea,Diagnostics Division,BusinessArea,Sales,Quarter,2025,Q2,Q2 2025,2025-04-01,2025-06-30,CHF m,616.0,-0.05,616.743,0.03,actual,Dia Sales CHF!R36,Q1 2026 RoFIS release
Roche,Diagnostics,Molecular Lab,BusinessArea,Diagnostics Division,BusinessArea,Sales,Quarter,2025,Q3,Q3 2025,2025-07-01,2025-09-30,CHF m,611.0,-0.01,627.992,0.05,actual,Dia Sales CHF!R36,Q1 2026 RoFIS release
Roche,Diagnostics,Molecular Lab,BusinessArea,Diagnostics Division,BusinessArea,Sales,YTD,2025,Q3,YTD Sep 25,2025-01-01,2025-09-30,CHF m,1861.0,-0.01,1841.661,0.04,actual,Dia Sales CHF!R8,Q1 2026 RoFIS release
Roche,Diagnostics,Molecular Lab,BusinessArea,Diagnostics Division,BusinessArea,Sales,FullYear,2025,Q4,2025,2025-01-01,2025-12-31,CHF m,2527.0,-0.01,2527.42,0.04,actual,Dia Sales CHF!R8,Q1 2026 RoFIS release
Roche,Diagnostics,Molecular Lab,BusinessArea,Diagnostics Division,BusinessArea,Sales,Quarter,2025,Q4,Q4 2025,2025-10-01,2025-12-31,CHF m,666.0,-0.02,685.759,0.06,actual,Dia Sales CHF!R36,Q1 2026 RoFIS release
Roche,Diagnostics,Molecular Lab,BusinessArea,Diagnostics Division,BusinessArea,Sales,Quarter,2026,Q1,Q1 2026,2026-01-01,2026-03-31,CHF m,571.0,-0.1,598.547,0.0,actual,Dia Sales CHF!R36,Q1 2026 RoFIS release
Roche,Diagnostics,Near Patient Care,BusinessArea,Diagnostics Division,BusinessArea,Sales,Quarter,2024,Q1,Q1 2024,2024-01-01,2024-03-31,CHF m,570.2,,,,reconstructed_from_published_yoy,Dia Sales CHF!R41 (YoY-derived),derived from Q1 2026 RoFIS release
